receiveTime,cpm,cpmError
2015-11-20 05:02:10,3.8,0.87178
2015-11-20 05:07:10,1.4,0.52915
2015-11-20 05:12:11,2.4,0.69282
2015-11-20 05:17:11,3.0,0.774597
2015-11-20 05:22:12,2.8,0.748331
2015-11-20 05:27:12,3.2,0.8
2015-11-20 05:32:13,3.0,0.774597
2015-11-20 05:37:13,2.8,0.748331
2015-11-20 05:42:14,3.2,0.8
2015-11-20 05:47:15,3.6,0.848528
2015-11-20 05:52:15,2.0,0.632456
2015-11-20 05:57:15,1.8,0.6
2015-11-20 06:02:16,3.0,0.774597
2015-11-20 06:07:06,3.8,0.87178
2015-11-20 06:12:07,2.0,0.632456
2015-11-20 06:17:07,2.8,0.748331
2015-11-20 06:22:08,1.8,0.6
2015-11-20 06:27:08,2.8,0.748331
2015-11-20 06:32:09,2.0,0.632456
2015-11-20 06:37:09,3.6,0.848528
2015-11-20 06:42:10,3.0,0.774597
2015-11-20 06:47:10,1.8,0.6
2015-11-20 06:52:11,3.0,0.774597
2015-11-20 06:57:11,2.0,0.632456
2015-11-20 07:02:12,4.8,0.979796
2015-11-20 07:07:12,2.4,0.69282
2015-11-20 07:12:13,2.2,0.663325
2015-11-20 07:17:13,3.0,0.774597
2015-11-20 07:22:14,2.2,0.663325
2015-11-20 07:27:14,2.8,0.748331
2015-11-20 07:32:15,2.2,0.663325
2015-11-20 07:37:15,2.0,0.632456
2015-11-20 07:42:16,3.0,0.774597
2015-11-20 07:47:06,2.2,0.663325
2015-11-20 07:52:07,2.8,0.748331
2015-11-20 07:57:07,2.6,0.72111
2015-11-20 08:02:08,2.4,0.69282
2015-11-20 08:07:09,3.0,0.774597
2015-11-20 08:12:09,3.2,0.8
2015-11-20 08:17:10,3.4,0.824621
2015-11-20 08:22:10,1.6,0.565685
2015-11-20 08:27:11,2.0,0.632456
2015-11-20 08:32:11,4.0,0.894427
2015-11-20 08:37:12,3.2,0.8
2015-11-20 08:42:12,3.2,0.8
2015-11-20 08:47:13,2.8,0.748331
2015-11-20 08:52:13,1.8,0.6
2015-11-20 08:57:14,2.2,0.663325
2015-11-20 09:02:14,1.4,0.52915
2015-11-20 09:07:15,2.6,0.72111
2015-11-20 09:12:15,2.6,0.72111
2015-11-20 09:17:16,4.0,0.894427
