receiveTime,cpm,cpmError
2015-11-18 03:17:15,3.8,0.87178
2015-11-18 03:22:16,1.6,0.565685
2015-11-18 03:27:16,2.4,0.69282
2015-11-18 03:32:17,3.0,0.774597
2015-11-18 03:37:07,1.4,0.52915
2015-11-18 03:42:08,3.8,0.87178
2015-11-18 03:47:08,3.0,0.774597
2015-11-18 03:52:08,2.8,0.748331
2015-11-18 03:57:09,2.2,0.663325
2015-11-18 04:02:09,1.4,0.52915
2015-11-18 04:07:10,2.2,0.663325
2015-11-18 04:12:10,2.4,0.69282
2015-11-18 04:17:10,3.6,0.848528
2015-11-18 04:22:11,2.8,0.748331
2015-11-18 04:27:11,2.4,0.69282
2015-11-18 04:32:12,3.4,0.824621
2015-11-18 04:37:12,2.2,0.663325
2015-11-18 04:42:13,1.4,0.52915
2015-11-18 04:47:13,3.2,0.8
2015-11-18 04:52:13,3.2,0.8
2015-11-18 04:57:14,5.4,1.03923
2015-11-18 05:02:14,3.2,0.8
2015-11-18 05:07:15,3.6,0.848528
2015-11-18 05:12:15,2.2,0.663325
2015-11-18 05:17:16,2.4,0.69282
2015-11-18 05:22:16,3.2,0.8
2015-11-18 05:27:16,3.2,0.8
2015-11-18 05:32:07,2.8,0.748331
2015-11-18 05:37:07,2.8,0.748331
2015-11-18 05:42:08,1.8,0.6
2015-11-18 05:47:08,3.2,0.8
2015-11-18 05:52:08,3.4,0.824621
2015-11-18 05:57:09,2.6,0.72111
2015-11-18 06:02:09,2.4,0.69282
2015-11-18 06:07:10,2.2,0.663325
2015-11-18 06:12:10,2.2,0.663325
2015-11-18 06:17:11,2.4,0.69282
2015-11-18 06:22:11,2.6,0.72111
2015-11-18 06:27:11,3.0,0.774597
2015-11-18 06:32:12,1.4,0.52915
2015-11-18 06:37:12,3.8,0.87178
2015-11-18 06:42:13,3.0,0.774597
2015-11-18 06:47:13,2.8,0.748331
2015-11-18 06:52:14,4.0,0.894427
2015-11-18 06:57:14,2.2,0.663325
2015-11-18 07:02:14,3.0,0.774597
2015-11-18 07:07:15,3.6,0.848528
2015-11-18 07:12:15,2.8,0.748331
2015-11-18 07:22:16,2.2,0.663325
2015-11-18 07:27:16,3.6,0.848528
2015-11-18 07:32:07,4.4,0.938083
2015-11-18 07:37:07,2.8,0.748331
